server_time_local,server_time_utc,client_ts,device,sensors.gps.lat,sensors.gps.lon,sensors.gps.alt_m,sensors.gps.sat,sensors.gps.hdop,sensors.dht22.temp_c,sensors.dht22.hum_pct,sensors.bmp280.temp_c,sensors.bmp280.press_hpa,sensors.bmp280.alt_m,sensors.bh1750.lux,sensors.hs_s20b.adc_raw,sensors.hs_s20b.ratio,sensors.mh_z19e.co2_ppm
2025-09-04T10:51:58+05:30,2025-09-04T05:21:58+00:00,2025-09-04T10:51:57+05:30,esp32-env1,28.544485,77.333141,211,7,1.4,23.79999924,99.90000153,24.04000092,984.7318726,240.1851349,409.1666565,4095,1,493,62,41,55,274
2025-09-04T10:52:02+05:30,2025-09-04T05:22:02+00:00,2025-09-04T10:52:02+05:30,esp32-env1,28.544485,77.333141,209,10,1.1,23.79999924,99.90000153,24.04999924,984.7371826,240.1398621,410.833313,4095,1,502,23,17,136,441
2025-09-04T10:52:06+05:30,2025-09-04T05:22:06+00:00,2025-09-04T10:52:07+05:30,esp32-env1,28.544485,77.333141,212,8,0.9,23.79999924,99.90000153,24.05999947,984.7243652,240.2489471,410.833313,4095,1,425,93,23,187,280
2025-09-04T10:52:11+05:30,2025-09-04T05:22:11+00:00,2025-09-04T10:52:12+05:30,esp32-env1,28.544485,77.333141,207,10,0.9,23.79999924,99.90000153,24.06999969,984.7427368,240.092514,407.4999695,4095,1,476,23,20,197,233
2025-09-04T10:52:16+05:30,2025-09-04T05:22:16+00:00,2025-09-04T10:52:17+05:30,esp32-env1,28.544485,77.333141,215,9,0.9,23.79999924,99.90000153,24.07999992,984.7262573,240.2330017,406.6666565,4095,1,479,39,55,67,341
2025-09-04T10:52:21+05:30,2025-09-04T05:22:21+00:00,2025-09-04T10:52:22+05:30,esp32-env1,28.544485,77.333141,206,12,1,23.79999924,99.90000153,24.10000038,984.7088013,240.3817139,407.4999695,4095,1,440,85,25,167,236
2025-09-04T10:52:26+05:30,2025-09-04T05:22:26+00:00,2025-09-04T10:52:27+05:30,esp32-env1,28.544485,77.333141,207,12,1.4,23.79999924,99.90000153,24.11000061,984.6940918,240.5072784,406.6666565,4095,1,495,32,55,97,764
2025-09-04T10:52:31+05:30,2025-09-04T05:22:31+00:00,2025-09-04T10:52:32+05:30,esp32-env1,28.544485,77.333141,215,9,1.4,23.79999924,99.90000153,24.11000061,984.7182007,240.3019562,406.6666565,4095,1,516,46,52,75,357
2025-09-04T10:52:36+05:30,2025-09-04T05:22:36+00:00,2025-09-04T10:52:37+05:30,esp32-env1,28.544485,77.333141,209,12,1.1,23.79999924,99.90000153,24.11000061,984.7251587,240.2422638,408.333313,4095,1,428,28,30,65,481
2025-09-04T10:52:41+05:30,2025-09-04T05:22:41+00:00,2025-09-04T10:52:42+05:30,esp32-env1,28.544485,77.333141,213,8,1.2,23.79999924,99.90000153,24.12999916,984.7263794,240.2319641,407.4999695,4095,1,496,73,9,109,481
2025-09-04T10:52:46+05:30,2025-09-04T05:22:46+00:00,2025-09-04T10:52:47+05:30,esp32-env1,28.544485,77.333141,211,8,1.3,23.79999924,99.90000153,24.12999916,984.7199707,240.2865143,408.333313,4095,1,477,73,34,69,640
2025-09-04T10:52:50+05:30,2025-09-04T05:22:50+00:00,2025-09-04T10:52:52+05:30,esp32-env1,28.544485,77.333141,211,10,1.1,23.79999924,99.90000153,24.15999985,984.7045288,240.4182434,409.1666565,4095,1,438,37,19,166,680
2025-09-04T10:52:56+05:30,2025-09-04T05:22:56+00:00,2025-09-04T10:52:57+05:30,esp32-env1,28.544485,77.333141,210,11,1.5,23.79999924,99.90000153,24.20000076,984.6750488,240.6693726,409.1666565,4095,1,502,117,33,183,320
2025-09-04T10:53:00+05:30,2025-09-04T05:23:00+00:00,2025-09-04T10:53:02+05:30,esp32-env1,28.544485,77.333141,208,7,1.4,23.79999924,99.90000153,24.22999954,984.6687622,240.7228851,406.6666565,4095,1,519,101,54,45,474
2025-09-04T10:53:08+05:30,2025-09-04T05:23:08+00:00,2025-09-04T10:53:07+05:30,esp32-env1,28.544485,77.333141,212,10,0.9,23.79999924,99.90000153,24.25,984.666748,240.7398682,405.833313,4095,1,491,30,5,100,141
2025-09-04T10:53:11+05:30,2025-09-04T05:23:11+00:00,2025-09-04T10:53:12+05:30,esp32-env1,28.544485,77.333141,214,7,1.1,23.79999924,99.90000153,24.28000069,984.6677856,240.7311249,406.6666565,4095,1,426,84,21,199,774
2025-09-04T10:53:15+05:30,2025-09-04T05:23:15+00:00,2025-09-04T10:53:17+05:30,esp32-env1,28.544485,77.333141,212,9,1,23.79999924,99.90000153,24.28000069,984.6723633,240.6925354,408.333313,4095,1,431,83,12,93,292
2025-09-04T10:53:20+05:30,2025-09-04T05:23:20+00:00,2025-09-04T10:53:22+05:30,esp32-env1,28.544485,77.333141,206,12,1.3,23.79999924,99.90000153,24.26000023,984.6849976,240.5844574,409.9999695,4095,1,483,25,54,133,665
2025-09-04T10:53:26+05:30,2025-09-04T05:23:26+00:00,2025-09-04T10:53:27+05:30,esp32-env1,28.544485,77.333141,213,9,1.5,23.79999924,99.90000153,24.23999977,984.6750488,240.6693726,409.9999695,4095,1,503,28,26,79,157
2025-09-04T10:53:31+05:30,2025-09-04T05:23:31+00:00,2025-09-04T10:53:32+05:30,esp32-env1,28.544485,77.333141,210,11,1.2,23.79999924,99.90000153,24.25,984.6688843,240.7218628,409.1666565,4095,1,495,111,14,76,608
2025-09-04T10:53:36+05:30,2025-09-04T05:23:36+00:00,2025-09-04T10:53:37+05:30,esp32-env1,28.544485,77.333141,207,9,1,23.79999924,99.90000153,24.23999977,984.6713867,240.7007599,408.333313,4095,1,427,53,44,191,157
2025-09-04T10:53:41+05:30,2025-09-04T05:23:41+00:00,2025-09-04T10:53:42+05:30,esp32-env1,28.544485,77.333141,214,9,1.3,23.79999924,99.90000153,24.21999931,984.6645508,240.7589111,406.6666565,4095,1,506,28,15,166,390
2025-09-04T10:53:46+05:30,2025-09-04T05:23:46+00:00,2025-09-04T10:53:47+05:30,esp32-env1,28.544485,77.333141,215,12,1.2,23.79999924,99.90000153,24.20000076,984.673584,240.6817169,405.833313,4095,1,457,118,30,52,697
2025-09-04T10:53:50+05:30,2025-09-04T05:23:50+00:00,2025-09-04T10:53:52+05:30,esp32-env1,28.544485,77.333141,213,11,0.9,23.79999924,99.90000153,24.18000031,984.6860962,240.5751953,405.833313,4095,1,429,49,41,102,418
2025-09-04T10:53:58+05:30,2025-09-04T05:23:58+00:00,2025-09-04T10:53:57+05:30,esp32-env1,28.544485,77.333141,212,7,1.2,23.79999924,99.90000153,24.17000008,984.6543579,240.8458862,406.6666565,4095,1,459,37,21,173,381
2025-09-04T10:54:01+05:30,2025-09-04T05:24:01+00:00,2025-09-04T10:54:02+05:30,esp32-env1,28.544485,77.333141,210,9,1.2,23.79999924,99.90000153,24.19000053,984.6574707,240.8191223,405.833313,4095,1,513,118,42,85,569
2025-09-04T10:54:06+05:30,2025-09-04T05:24:06+00:00,2025-09-04T10:54:07+05:30,esp32-env1,28.544485,77.333141,207,10,1.2,23.79999924,99.90000153,24.19000053,984.6540527,240.848465,406.6666565,4095,1,428,24,36,130,646
2025-09-04T10:54:10+05:30,2025-09-04T05:24:10+00:00,2025-09-04T10:54:12+05:30,esp32-env1,28.544485,77.333141,210,12,1.1,23.79999924,99.90000153,24.20000076,984.6598511,240.799057,409.9999695,4095,1,486,48,22,69,294
2025-09-04T10:54:16+05:30,2025-09-04T05:24:16+00:00,2025-09-04T10:54:17+05:30,esp32-env1,28.544485,77.333141,211,12,1.2,23.79999924,99.90000153,24.20999908,984.6573486,240.8201599,409.9999695,4095,1,502,42,25,54,594
2025-09-04T10:54:20+05:30,2025-09-04T05:24:20+00:00,2025-09-04T10:54:22+05:30,esp32-env1,28.544485,77.333141,213,9,1.5,23.79999924,99.90000153,24.21999931,984.657959,240.8150024,409.1666565,4095,1,482,70,25,88,412
2025-09-04T10:54:26+05:30,2025-09-04T05:24:26+00:00,2025-09-04T10:54:27+05:30,esp32-env1,28.544485,77.333141,213,11,1.3,23.79999924,99.90000153,24.21999931,984.6698608,240.713623,408.333313,4095,1,474,42,18,76,121
2025-09-04T10:54:31+05:30,2025-09-04T05:24:31+00:00,2025-09-04T10:54:32+05:30,esp32-env1,28.544485,77.333141,211,12,1.5,23.79999924,99.90000153,24.22999954,984.6652832,240.7527466,405.833313,4095,1,513,98,57,84,613
2025-09-04T10:54:36+05:30,2025-09-04T05:24:36+00:00,2025-09-04T10:54:37+05:30,esp32-env1,28.544485,77.333141,211,9,1.4,23.79999924,99.90000153,24.23999977,984.6642456,240.7614899,405.833313,4095,1,442,61,25,180,84
2025-09-04T10:54:40+05:30,2025-09-04T05:24:40+00:00,2025-09-04T10:54:42+05:30,esp32-env1,28.544485,77.333141,211,7,0.9,23.79999924,99.90000153,24.22999954,984.6618652,240.7815552,406.6666565,4095,1,497,104,16,55,182
